"id","liga_id","domacin_tim_id","gost_tim_id","datum_vreme","lokacija","kolo","faza","grupa","bracket_pozicija","domacin_golovi","gost_golovi","pobednik_tim_id","status","vreme_utakmice","poluvreme","domacin_zuti","domacin_crveni","gost_zuti","gost_crveni","youtube_url","galerija_ids","pocetak_utakmice","kraj_utakmice","created_at","updated_at","lineup_formacija"
"1293","231","243","238","2026-02-02 21:00:00",,"1","grupa","A",,"7","5","243","zavrsena","2217","4","0","0","0","0","https://www.youtube.com/live/nu1Gtok2WnY?si=8TNRWwiS6R54v-0S",,"2026-02-02 20:17:48","2026-02-02 21:04:23","2026-02-02 17:23:49","2026-02-02 21:04:23","2-2-1"
"1294","231","232","242","2026-02-02 22:00:00",,"1","grupa","A",,"4","1","232","zavrsena","2831","2","0","0","0","1",,,"2026-02-02 21:11:12","2026-02-02 22:07:03","2026-02-02 17:23:49","2026-02-02 22:07:03","2-2-1"
"1295","231","241","249","2026-03-04 21:45:00",,"1","grupa","A",,"5","3","241","zavrsena","2292","2","0","0","0","0",,,"2026-03-04 21:03:19","2026-03-04 21:44:34","2026-02-02 17:23:49","2026-03-04 21:44:34","2-2-1"
"1296","231","255","256","2026-02-03 21:00:00",,"11","grupa","B",,"1","7","256","zavrsena","2501","2","0","0","0","0","https://www.youtube.com/live/aNWFkm57Q0M?feature=shared",,"2026-02-03 20:09:42","2026-02-03 20:59:38","2026-02-02 17:23:49","2026-03-24 22:28:38","2-2-1"
"1297","231","240","253","2026-02-03 22:00:00",,"1","grupa","A",,"1","4","253","zavrsena","2626","2","0","0","1","0","https://www.youtube.com/live/3bdbkp34wXM?feature=shared",,"2026-02-03 21:09:00","2026-02-03 22:00:22","2026-02-02 17:23:49","2026-02-03 22:00:22","2-2-1"
"1299","231","233","234","2026-02-04 22:00:00",,"1","grupa","B",,"5","6","234","zavrsena","2797","2","2","1","1","1",,,"2026-02-04 21:08:41","2026-02-04 22:03:19","2026-02-02 17:23:49","2026-02-04 22:03:19","2-2-1"
"1300","231","251","247","2026-02-05 20:00:00",,"10","grupa","B",,"0","12","247","zavrsena","2451","3","0","0","0","0","https://www.youtube.com/live/pmtdisP10XI?feature=shared",,"2026-02-05 19:09:30","2026-02-05 19:58:08","2026-02-02 17:23:49","2026-03-24 22:24:36","2-2-1"
"1301","231","246","239","2026-02-05 22:00:00",,"10","grupa","B",,"8","3","246","zavrsena","2759","2","0","0","0","0","https://www.youtube.com/live/9e2HcmGc4aA?si=bl_qZln1t1IZTPOI",,"2026-02-05 21:04:41","2026-02-05 21:57:36","2026-02-02 17:23:49","2026-03-24 22:16:51","2-2-1"
"1302","231","257","235","2026-02-06 20:00:00",,"1","grupa","A",,"1","8","235","zavrsena","2738","2","1","0","0","0",,,"2026-02-06 20:10:50","2026-02-06 21:02:51","2026-02-02 17:23:49","2026-02-06 21:02:51","2-2-1"
"1306","231","240","249",,,"2","grupa","A",,"2","3","249","zavrsena","2260","2","0","0","0","0","https://www.youtube.com/live/BWjxc8afOl8?si=jzrmlum7gz21UfdT",,"2026-02-12 21:09:23","2026-02-12 21:53:33","2026-02-02 17:23:49","2026-02-12 21:53:33","2-2-1"
"1309","231","252","238","2026-02-11 21:00:00",,"2","grupa","A",,"4","3","252","zavrsena","2014","2","0","0","1","0","https://www.youtube.com/live/waBkDYx0oxk?si=R2mVcJiAEdoRhxNb",,"2026-02-11 20:01:33","2026-02-11 20:44:43","2026-02-02 17:23:49","2026-02-11 20:44:43","2-2-1"
"1311","231","243","242","2026-02-09 21:00:00",,"2","grupa","A",,"10","4","243","zavrsena","2390","2","0","0","0","0","https://www.youtube.com/live/5nmp6r4zHk4?si=EdK1MlYPsQm-iavA",,"2026-02-09 20:09:04","2026-02-09 20:55:27","2026-02-02 17:23:49","2026-02-09 20:55:27","2-2-1"
"1312","231","257","232","2026-02-09 21:50:00",,"2","grupa","A",,"5","8","232","zavrsena","2358","2","0","0","1","0","https://www.youtube.com/live/89-BlfmreBs?si=JFCIEo6Lwo7RWXGv",,"2026-02-09 21:03:19","2026-02-09 21:44:57","2026-02-02 17:23:49","2026-02-09 21:44:57","2-2-1"
"1391","231","237","239","2026-02-10 21:30:00",,"11","grupa","B",,"5","6","239","zavrsena","2249","2","0","0","0","0","https://www.youtube.com/live/Ygagy7ijx9Y?si=gBiPfCUDzQuZ-yKI",,"2026-02-10 20:35:52","2026-02-10 21:18:32","2026-02-02 17:23:49","2026-03-24 22:28:01","2-2-1"
"1392","231","251","234","2026-02-23 21:35:00",,"11","grupa","B",,"1","11","234","zavrsena","1875","2","1","0","1","0","https://www.youtube.com/live/gINnm4Pdbrg?si=bS9qXO4ALFxT6rjU",,"2026-02-23 21:02:22","2026-02-23 21:43:02","2026-02-02 17:23:49","2026-03-24 22:32:17","2-2-1"
"1393","231","246","245","2026-02-13 20:00:00",,"2","grupa","B",,"8","3","246","zavrsena","4168","2","1","0","1","0","https://www.youtube.com/live/BUsAwfAIWXM?si=gTfqz_PTQ29qkSqM",,"2026-02-13 19:17:12","2026-02-13 20:01:58","2026-02-02 17:23:49","2026-02-13 20:33:55","2-2-1"
"1394","231","233","256","2026-02-11 21:50:00",,"9","grupa","B",,"3","0","233","zavrsena","20","1","0","0","0","0",,,"2026-02-11 20:47:22","2026-02-11 20:47:49","2026-02-02 17:23:49","2026-03-24 22:12:52","2-2-1"
"1451","231","254","245","2026-02-06 19:00:00",,"1","grupa","B",,"2","20","245","zavrsena","1047","2","0","0","0","0",,,"2026-02-13 14:23:33","2026-02-13 14:53:30","2026-02-13 14:22:09","2026-02-13 14:53:30","2-2-1"
"1453","231","241","235","2026-02-17 20:40:00",,"3","grupa","A",,"5","2","241","zavrsena","2064","2","0","0","0","0","https://www.youtube.com/live/Y73GUtEQQRY?si=p8ySHtErjMDKN5hi",,"2026-02-17 19:53:19","2026-02-17 20:33:24","2026-02-15 21:24:42","2026-02-17 20:33:24","2-2-1"
"1455","231","242","253","2026-02-17 22:20:00",,"3","grupa","A",,"0","3","253","zavrsena","10","1","0","0","0","0",,,"2026-02-17 21:52:37","2026-02-17 21:52:48","2026-02-15 21:27:25","2026-02-17 21:52:48","2-2-1"
"1456","231","243","257","2026-02-18 21:00:00",,"3","grupa","A",,"7","6","243","zavrsena","2149","2","0","1","0","0","https://www.youtube.com/live/FUbkoUlGtjE?si=bu8MGlBRKq-8n-ae",,"2026-02-18 20:22:15","2026-02-18 21:03:56","2026-02-15 21:28:52","2026-02-18 21:03:56","2-2-1"
"1458","231","255","456","2026-02-18 22:30:00",,"11","grupa","B",,"4","3","255","zavrsena","2202","2","1","0","0","0","https://www.youtube.com/live/1yKuoKS3BuE?si=Q9H6QvmSdx651JoZ",,"2026-02-18 21:34:44","2026-02-18 22:19:45","2026-02-15 21:59:13","2026-03-24 22:29:09","2-2-1"
"1459","231","247","233","2026-02-19 20:00:00",,"3","grupa","B",,"3","9","233","zavrsena","2100","2","0","0","0","0","https://www.youtube.com/live/jtSNkgc3YvI?si=7e9Qd-Sn3b3YoRNc",,"2026-02-19 19:12:22","2026-02-19 19:55:40","2026-02-15 22:00:16","2026-02-19 19:55:40","2-2-1"
"1460","231","252","249","2026-02-20 20:00:00",,"3","grupa","A",,"7","1","252","zavrsena","2113","2","0","0","0","0","https://www.youtube.com/live/ub95YP2MeWU?si=WskO48laHShneVu4",,"2026-02-20 19:11:11","2026-02-20 19:51:41","2026-02-15 22:01:17","2026-02-20 19:51:41","2-2-1"
"1461","231","256","245","2026-02-20 20:45:00",,"10","grupa","B",,"2","4","245","zavrsena","2320","2","0","0","0","0","https://www.youtube.com/live/-4j_qaYZVQQ?si=_P_v5xY72AXxou8B",,"2026-02-20 19:57:16","2026-02-20 20:41:37","2026-02-15 22:02:13","2026-03-24 22:20:04","2-2-1"
"1462","231","234","239","2026-02-20 21:30:00",,"3","grupa","B",,"5","5",,"zavrsena","2400","2","0","0","0","0","https://www.youtube.com/live/MY6oCpgqXyQ?si=1nh13s9R0pRQbk9Z",,"2026-02-20 20:47:04","2026-02-20 21:30:13","2026-02-15 22:02:58","2026-02-20 21:30:13","2-2-1"
"1463","231","246","237","2026-02-20 22:15:00",,"3","grupa","B",,"10","8","246","zavrsena","2000","2","0","0","0","0",,,"2026-02-20 21:32:46","2026-02-20 22:14:12","2026-02-15 22:03:48","2026-02-20 22:14:12","2-2-1"
"1464","231","238","241","2026-02-23 20:50:00",,"4","grupa","A",,"4","3","238","zavrsena","2307","1","0","0","0","0",,,"2026-02-23 20:09:40","2026-02-23 20:54:33","2026-02-23 19:25:35","2026-02-23 20:54:33","2-2-1"
"1465","231","252","235","2026-03-05 20:00:00",,"4","grupa","A",,"4","2","252","zavrsena","2303","2","0","0","0","0","https://www.youtube.com/live/Z0y0qzcGxc0?si=_WgWBhWcLbsyNRGP",,"2026-03-05 19:09:31","2026-03-05 19:57:08","2026-02-23 20:15:24","2026-03-05 19:57:08","2-2-1"
"1466","231","251","233","2026-02-24 18:50:00",,"4","grupa","B",,"2","10","233","zavrsena","2132","3","0","0","0","0","https://www.youtube.com/live/5_-hBa8JzzE?si=-QTT_I0jNgwWf7aH",,"2026-02-24 18:08:57","2026-02-24 18:48:16","2026-02-23 20:16:30","2026-02-24 18:48:16","2-2-1"
"1469","231","456","254","2026-02-24 21:20:00",,"10","grupa","B",,"9","3","456","zavrsena","2197","2","0","0","0","0",,,"2026-02-24 20:22:38","2026-02-24 21:04:18","2026-02-23 20:19:38","2026-03-24 22:09:37","2-2-1"
"1470","231","456","239","2026-02-24 22:10:00",,"4","grupa","B",,"4","4",,"zavrsena","2251","2","1","0","0","0",,,"2026-02-24 21:10:48","2026-02-24 21:54:02","2026-02-23 20:20:20","2026-02-24 21:54:02","2-2-1"
"1471","231","243","232","2026-03-16 20:45:00",,"4","grupa","A",,"3","3",,"zavrsena","2309","2","0","0","0","0","https://www.youtube.com/live/V6ZNRenIbxE?si=grZdCyM12BrfA8jn",,"2026-03-16 19:57:41","2026-03-16 20:40:38","2026-02-24 00:13:51","2026-03-16 20:40:38","2-2-1"
"1472","231","245","234","2026-02-25 21:45:00",,"4","grupa","B",,"3","3",,"zavrsena","2197","2","1","0","3","1","https://www.youtube.com/live/pbhKfjgw9Kg?si=kXCrY4H4E9VujoqH",,"2026-02-25 20:33:46","2026-02-25 21:17:57","2026-02-24 00:14:43","2026-02-25 21:17:57","2-2-1"
"1473","231","255","254","2026-02-25 22:30:00",,"4","grupa","B",,"4","5","254","zavrsena","2026","2","0","0","0","0","https://www.youtube.com/live/aOBuBuh7FOI?si=GkcM7eJ0lKUHzkSx",,"2026-02-25 21:33:12","2026-02-25 22:18:11","2026-02-24 00:15:32","2026-02-25 22:18:11","2-2-1"
"1474","231","257","253","2026-02-26 20:00:00",,"4","grupa","A",,"3","4","253","zavrsena","2586","2","0","0","2","0","https://www.youtube.com/live/jRaiVszA6WY?si=1MTrp07jsN8wYf47",,"2026-02-26 19:15:10","2026-02-26 20:00:43","2026-02-24 00:16:23","2026-02-26 20:00:43","2-2-1"
"1475","231","249","242","2026-03-20 20:00:00",,"4","grupa","A",,"3","0","249","zavrsena","0","1","0","0","0","0",,,,"2026-03-20 22:57:31","2026-02-24 00:17:00","2026-03-20 22:57:31","2-2-1"
"1476","231","232","240","2026-02-21 18:00:00",,"3","grupa","A",,"0","3","240","zavrsena","0","1","0","0","0","0",,,,"2026-02-27 14:55:47","2026-02-27 14:55:47","2026-02-27 14:56:36","2-2-1"
"1477","231","500","240","2026-02-27 19:50:00",,"4","grupa","A",,"2","1","500","zavrsena","2266","2","0","0","2","0","https://www.youtube.com/live/xk2qie7dOjw?si=69_sTLB9BtlDL3mz",,"2026-02-27 19:06:19","2026-02-27 19:49:46","2026-02-27 16:49:16","2026-03-06 14:33:22","2-2-1"
"1478","231","500","241","2026-02-27 20:45:00",,"2","grupa","A",,"4","7","241","zavrsena","2150","2","0","0","0","0","https://www.youtube.com/live/31M7XbvIK1c?si=l08Zjew2bofPu9MX",,"2026-02-27 19:57:39","2026-02-27 20:37:20","2026-02-27 16:50:02","2026-02-27 20:37:20","2-2-1"
